;ID;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious, Critical;Tot Cases/1M pop;Deaths/ 1M pop;Total Tests;Tests/ 1M pop;Continent;1 Case every X people;1 Death every X people;1 Test every X ppl
0;1.0;USA;7139553.0;;206593.0;;4398907.0;;2534053.0;14086.0;21540.0;623.0;100582090.0;303459.0;North America;46.0;1604.0;3.0
1;2.0;India;5737197.0;7013.0;91204.0;31.0;4674987.0;3137.0;971006.0;8944.0;4148.0;66.0;67436031.0;48756.0;Asia;241.0;15165.0;21.0
2;3.0;Brazil;4627780.0;;139065.0;;3992886.0;;495829.0;8318.0;21736.0;653.0;17900000.0;84074.0;South America;46.0;1531.0;12.0
3;4.0;Russia;1128836.0;6595.0;19948.0;149.0;929829.0;6130.0;179059.0;2300.0;7734.0;137.0;43900000.0;300790.0;Europe;129.0;7316.0;3.0
4;5.0;Colombia;784268.0;;24746.0;;662277.0;;97245.0;863.0;15376.0;485.0;3499136.0;68601.0;South America;65.0;2061.0;15.0
5;6.0;Peru;782695.0;;31870.0;;636489.0;;114336.0;1381.0;23663.0;964.0;3751583.0;113421.0;South America;42.0;1038.0;9.0
6;7.0;Mexico;710049.0;4786.0;74949.0;601.0;510237.0;3505.0;124863.0;2677.0;5494.0;580.0;1620878.0;12541.0;North America;182.0;1724.0;80.0
7;8.0;Spain;693556.0;;31034.0;;N/A;N/A;N/A;1436.0;14833.0;664.0;11820505.0;252796.0;Europe;67.0;1507.0;4.0
8;9.0;South Africa;665188.0;;16206.0;;594229.0;;54753.0;539.0;11183.0;272.0;4083757.0;68658.0;Africa;89.0;3670.0;15.0
9;10.0;Argentina;664799.0;;14376.0;;525486.0;;124937.0;3511.0;14678.0;317.0;1815738.0;40090.0;South America;68.0;3150.0;25.0
10;11.0;France;481141.0;;31459.0;;93538.0;;356144.0;951.0;7367.0;482.0;10000000.0;153122.0;Europe;136.0;2076.0;7.0
11;12.0;Chile;449903.0;;12345.0;;425165.0;;12393.0;907.0;23489.0;645.0;3084117.0;161017.0;South America;43.0;1552.0;6.0
12;13.0;Iran;432798.0;;24840.0;;365846.0;;42112.0;3948.0;5138.0;295.0;3828330.0;45446.0;Asia;195.0;3391.0;22.0
13;14.0;UK;409729.0;;41862.0;;N/A;N/A;N/A;211.0;6028.0;616.0;22616796.0;332753.0;Europe;166.0;1624.0;3.0
14;15.0;Bangladesh;353844.0;;5044.0;;262953.0;;85847.0;;2144.0;31.0;1862637.0;11284.0;Asia;466.0;32725.0;89.0
15;16.0;Iraq;332635.0;;8754.0;;264988.0;;58893.0;541.0;8229.0;217.0;2121304.0;52475.0;Asia;122.0;4618.0;19.0
16;17.0;Saudi Arabia;331359.0;;4569.0;;313786.0;;13004.0;1095.0;9484.0;131.0;6190822.0;177199.0;Asia;105.0;7647.0;6.0
17;18.0;Pakistan;308217.0;799.0;6437.0;5.0;294392.0;476.0;7388.0;548.0;1389.0;29.0;3306515.0;14904.0;Asia;720.0;34466.0;67.0
18;19.0;Turkey;308069.0;;7711.0;;270723.0;;29635.0;1561.0;3644.0;91.0;9608370.0;113645.0;Asia;274.0;10965.0;9.0
19;20.0;Italy;302537.0;;35758.0;;220665.0;;46114.0;244.0;5005.0;592.0;10679675.0;176696.0;Europe;200.0;1690.0;6.0
20;21.0;Philippines;296755.0;2180.0;5127.0;36.0;231928.0;580.0;59700.0;1048.0;2700.0;47.0;3462679.0;31504.0;Asia;370.0;21438.0;32.0
21;22.0;Germany;279205.0;;9508.0;;249500.0;;20197.0;293.0;3330.0;113.0;15642654.0;186563.0;Europe;300.0;8819.0;5.0
22;23.0;Indonesia;262022.0;4634.0;10105.0;128.0;191853.0;3895.0;60064.0;;956.0;37.0;3032250.0;11059.0;Asia;1046.0;27134.0;90.0
23;24.0;Israel;206332.0;1642.0;1335.0;10.0;148075.0;3112.0;56922.0;667.0;22433.0;145.0;3250805.0;353441.0;Asia;45.0;6890.0;3.0
24;25.0;Ukraine;188106.0;3372.0;3757.0;52.0;83458.0;1788.0;100891.0;177.0;4307.0;86.0;2102377.0;48141.0;Europe;232.0;11624.0;21.0
25;26.0;Canada;147756.0;3.0;9243.0;;127788.0;;10725.0;86.0;3907.0;244.0;6833661.0;180697.0;North America;256.0;4092.0;6.0
26;27.0;Bolivia;131990.0;537.0;7731.0;38.0;91556.0;703.0;32703.0;71.0;11272.0;660.0;292016.0;24939.0;South America;89.0;1515.0;40.0
27;28.0;Ecuador;129892.0;;11171.0;;102852.0;;15869.0;360.0;7337.0;631.0;399096.0;22543.0;South America;136.0;1585.0;44.0
28;29.0;Qatar;124175.0;;212.0;;121006.0;;2957.0;64.0;44225.0;76.0;739091.0;263227.0;Asia;23.0;13244.0;4.0
29;30.0;Romania;116415.0;;4550.0;;93558.0;;18307.0;498.0;6061.0;237.0;2278125.0;118607.0;Europe;165.0;4221.0;8.0
30;31.0;Dominican Republic;109737.0;;2074.0;;83434.0;;24229.0;208.0;10093.0;191.0;455525.0;41895.0;North America;99.0;5242.0;24.0
31;32.0;Panama;107990.0;;2291.0;;84437.0;;21262.0;122.0;24939.0;529.0;447769.0;103406.0;North America;40.0;1890.0;10.0
32;33.0;Morocco;107743.0;;1918.0;;88244.0;;17581.0;281.0;2911.0;52.0;2457373.0;66396.0;Africa;344.0;19297.0;15.0
33;34.0;Kazakhstan;107529.0;79.0;1699.0;;102323.0;259.0;3507.0;221.0;5711.0;90.0;2733455.0;145179.0;Asia;175.0;11082.0;7.0
34;35.0;Belgium;106887.0;1661.0;9959.0;4.0;19079.0;40.0;77849.0;95.0;9213.0;858.0;2986196.0;257401.0;Europe;109.0;1165.0;4.0
35;36.0;Egypt;102375.0;;5822.0;;91843.0;;4710.0;41.0;996.0;57.0;135000.0;1314.0;Africa;1004.0;17652.0;761.0
36;37.0;Kuwait;101299.0;;590.0;;92341.0;;8368.0;101.0;23641.0;138.0;720509.0;168149.0;Asia;42.0;7263.0;6.0
37;38.0;Netherlands;100597.0;;6296.0;;N/A;N/A;N/A;104.0;5868.0;367.0;2240526.0;130691.0;Europe;170.0;2723.0;8.0
38;39.0;Oman;95907.0;568.0;885.0;10.0;86765.0;283.0;8257.0;185.0;18675.0;172.0;376700.0;73352.0;Asia;54.0;5803.0;14.0
39;40.0;Sweden;89756.0;;5876.0;;N/A;N/A;N/A;15.0;8875.0;581.0;1532632.0;151538.0;Europe;113.0;1721.0;7.0
40;41.0;UAE;87530.0;;406.0;;76995.0;;10129.0;;8826.0;41.0;9036933.0;911188.0;Asia;113.0;24428.0;1.0
41;42.0;Guatemala;87442.0;;3154.0;;76459.0;;7829.0;5.0;4860.0;175.0;300215.0;16687.0;North America;206.0;5704.0;60.0
42;43.0;Poland;81673.0;;2344.0;;65561.0;;13768.0;89.0;2159.0;62.0;3177776.0;83986.0;Europe;463.0;16142.0;12.0
43;44.0;Japan;79768.0;;1512.0;;71981.0;;6275.0;165.0;631.0;12.0;1859693.0;14714.0;Asia;1584.0;83588.0;68.0
44;45.0;Belarus;76357.0;;796.0;;73564.0;;1997.0;;8081.0;84.0;1759393.0;186207.0;Europe;124.0;11870.0;5.0
45;46.0;Honduras;72675.0;369.0;2222.0;16.0;24022.0;792.0;46431.0;20.0;7311.0;224.0;172323.0;17336.0;North America;137.0;4474.0;58.0
46;47.0;Ethiopia;71083.0;;1141.0;;29253.0;;40689.0;269.0;615.0;10.0;1226297.0;10608.0;Africa;1626.0;101313.0;94.0
47;48.0;Portugal;70465.0;;1928.0;;46290.0;;22247.0;77.0;6915.0;189.0;2458397.0;241263.0;Europe;145.0;5285.0;4.0
48;49.0;Venezuela;69439.0;;574.0;;58759.0;;10106.0;146.0;2444.0;20.0;1920335.0;67577.0;South America;409.0;49507.0;15.0
49;50.0;Costa Rica;68059.0;;781.0;;26136.0;;41142.0;249.0;13332.0;153.0;210057.0;41149.0;North America;75.0;6536.0;24.0
50;51.0;Nepal;67804.0;;436.0;;49954.0;;17414.0;;2318.0;15.0;944474.0;32284.0;Asia;431.0;67099.0;31.0
51;52.0;Bahrain;67014.0;;231.0;;60117.0;;6666.0;54.0;39087.0;135.0;1366396.0;796979.0;Asia;26.0;7422.0;1.0
52;53.0;Nigeria;57724.0;;1102.0;;48985.0;;7637.0;7.0;278.0;5.0;484051.0;2335.0;Africa;3591.0;188093.0;428.0
53;54.0;Singapore;57654.0;15.0;27.0;;57291.0;;336.0;;9837.0;5.0;2692047.0;459319.0;Asia;102.0;217073.0;2.0
54;55.0;Czechia;55464.0;;555.0;;26709.0;;28200.0;120.0;5177.0;52.0;1240417.0;115779.0;Europe;193.0;19304.0;9.0
55;56.0;Uzbekistan;53667.0;392.0;445.0;1.0;49832.0;183.0;3390.0;283.0;1598.0;13.0;1377915.0;41034.0;Asia;626.0;75460.0;24.0
56;57.0;Switzerland;51101.0;;2060.0;;42300.0;200.0;6741.0;35.0;5895.0;238.0;1300092.0;149966.0;Europe;170.0;4208.0;7.0
57;58.0;Algeria;50400.0;;1698.0;;35428.0;;13274.0;31.0;1145.0;39.0;;;Africa;874.0;25931.0;
58;59.0;Armenia;48251.0;374.0;945.0;3.0;43266.0;240.0;4040.0;;16276.0;319.0;272235.0;91831.0;Asia;61.0;3137.0;11.0
59;60.0;Moldova;48232.0;;1244.0;;36071.0;;10917.0;564.0;11963.0;309.0;253860.0;62965.0;Europe;84.0;3241.0;16.0
60;61.0;Ghana;46153.0;;299.0;;45299.0;;555.0;6.0;1478.0;10.0;474120.0;15187.0;Africa;676.0;104410.0;66.0
61;62.0;Kyrgyzstan;45757.0;127.0;1063.0;;42005.0;101.0;2689.0;24.0;6987.0;162.0;267718.0;40882.0;Asia;143.0;6160.0;24.0
62;63.0;Austria;40816.0;832.0;783.0;6.0;31661.0;712.0;8372.0;78.0;4526.0;87.0;1507782.0;167191.0;Europe;221.0;11518.0;6.0
63;64.0;Azerbaijan;39524.0;;580.0;;37122.0;;1822.0;;3890.0;57.0;1073255.0;105633.0;Asia;257.0;17518.0;9.0
64;65.0;Afghanistan;39170.0;25.0;1451.0;5.0;32619.0;9.0;5100.0;93.0;1001.0;37.0;109469.0;2798.0;Asia;999.0;26964.0;357.0
65;66.0;Kenya;37348.0;;664.0;;24253.0;;12431.0;44.0;691.0;12.0;506632.0;9376.0;Africa;1447.0;81381.0;107.0
66;67.0;Palestine;37083.0;;272.0;;26288.0;;10523.0;;7232.0;53.0;394384.0;76909.0;Asia;138.0;18853.0;13.0
67;68.0;Paraguay;35571.0;;727.0;;19867.0;;14977.0;157.0;4973.0;102.0;258828.0;36187.0;South America;201.0;9838.0;28.0
68;69.0;Ireland;33675.0;;1794.0;;23364.0;;8517.0;16.0;6802.0;362.0;1092380.0;220664.0;Europe;147.0;2759.0;5.0
69;70.0;Serbia;33080.0;;744.0;;31536.0;;800.0;22.0;3790.0;85.0;1092359.0;125140.0;Europe;264.0;11733.0;8.0
70;71.0;Lebanon;31792.0;;328.0;;13527.0;;17937.0;126.0;4663.0;48.0;756198.0;110908.0;Asia;214.0;20787.0;9.0
71;72.0;Libya;30097.0;;469.0;;16430.0;;13198.0;;4367.0;68.0;192235.0;27890.0;Africa;229.0;14696.0;36.0
72;73.0;El Salvador;28201.0;247.0;823.0;4.0;22326.0;213.0;5052.0;89.0;4343.0;127.0;374821.0;57720.0;North America;230.0;7890.0;17.0
