;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious, Critical;Tot Cases/1M pop;Deaths/ 1M pop;Total Tests;Tests/ 1M pop;Continent;1 Case every X people;1 Death every X people;1 Test every X ppl
0;USA;7365427.0;3816.0;209915.0;107.0;4611282.0;1646.0;2544230.0;14064.0;22220.0;633.0;105432447.0;318067.0;North America;45.0;1579.0;3.0
1;India;6156722.0;13703.0;96468.0;117.0;5109584.0;11011.0;950670.0;8944.0;4451.0;70.0;73110041.0;52852.0;Asia;225.0;14340.0;19.0
2;Brazil;4748327.0;;142161.0;;4084182.0;;521984.0;8318.0;22300.0;668.0;17900000.0;84066.0;South America;45.0;1498.0;12.0
3;Russia;1167805.0;8232.0;20545.0;160.0;952399.0;6479.0;194861.0;2300.0;8001.0;141.0;45600000.0;312436.0;Europe;125.0;7104.0;3.0
4;Colombia;818203.0;;25641.0;;722536.0;;70026.0;2220.0;16039.0;503.0;3668126.0;71903.0;South America;62.0;1990.0;14.0
5;Peru;808714.0;;32324.0;;670989.0;;105401.0;1354.0;24445.0;977.0;3865360.0;116839.0;South America;41.0;1023.0;9.0
6;Spain;748266.0;;31411.0;;N/A;N/A;N/A;1529.0;16003.0;672.0;12723989.0;272117.0;Europe;62.0;1489.0;4.0
7;Mexico;733717.0;3400.0;76603.0;173.0;527278.0;3447.0;129836.0;2334.0;5676.0;593.0;1918800.0;14844.0;North America;176.0;1687.0;67.0
8;Argentina;723132.0;;16113.0;;576715.0;;130304.0;3678.0;15964.0;356.0;1926717.0;42535.0;South America;63.0;2811.0;24.0
9;South Africa;671669.0;;16586.0;;604478.0;;50605.0;539.0;11290.0;279.0;4152480.0;69801.0;Africa;89.0;3587.0;14.0
10;France;542639.0;;31808.0;;95426.0;;415405.0;1118.0;8309.0;487.0;10712335.0;164025.0;Europe;120.0;2053.0;6.0
11;Chile;459671.0;;12698.0;;433016.0;;13957.0;884.0;23996.0;663.0;3265887.0;170487.0;South America;42.0;1509.0;6.0
12;Iran;453637.0;3677.0;25986.0;207.0;378727.0;2196.0;48924.0;4079.0;5384.0;308.0;3986720.0;47318.0;Asia;186.0;3242.0;21.0
13;UK;439013.0;;42001.0;;N/A;N/A;N/A;262.0;6459.0;618.0;24016711.0;353324.0;Europe;155.0;1618.0;3.0
14;Bangladesh;362043.0;1488.0;5219.0;26.0;273698.0;1625.0;83126.0;;2193.0;32.0;1934251.0;11716.0;Asia;456.0;31632.0;85.0
15;Iraq;358290.0;4724.0;9122.0;70.0;288812.0;4028.0;60356.0;559.0;8860.0;226.0;2244081.0;55496.0;Asia;113.0;4433.0;18.0
16;Saudi Arabia;334187.0;539.0;4739.0;27.0;318542.0;696.0;10906.0;1005.0;9563.0;136.0;6444173.0;184412.0;Asia;105.0;7374.0;5.0
17;Turkey;315845.0;;8062.0;;277052.0;;30731.0;1596.0;3735.0;95.0;10153223.0;120072.0;Asia;268.0;10489.0;8.0
18;Pakistan;311516.0;675.0;6474.0;8.0;296340.0;318.0;8702.0;419.0;1404.0;29.0;3482206.0;15691.0;Asia;712.0;34278.0;64.0
19;Italy;311364.0;;35851.0;;225190.0;;50323.0;264.0;5152.0;593.0;11138173.0;184286.0;Europe;194.0;1686.0;5.0
20;Philippines;309303.0;2025.0;5448.0;68.0;252930.0;290.0;50925.0;1758.0;2814.0;50.0;3680659.0;33481.0;Asia;355.0;20179.0;30.0
21;Germany;289020.0;402.0;9545.0;;252400.0;;27075.0;353.0;3447.0;114.0;15642654.0;186555.0;Europe;290.0;8785.0;5.0
22;Indonesia;282724.0;4002.0;10601.0;128.0;210437.0;3567.0;61686.0;;1031.0;39.0;3276402.0;11948.0;Asia;970.0;25868.0;84.0
