;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious, Critical;Tot Cases/1M pop;Deaths/ 1M pop;Total Tests;Tests/ 1M pop;Continent
60;Morocco;2685.0;121.0;137.0;2.0;314.0;2234.0;1.0;73.0;4.0;13689.0;371.0;Africa
61;Algeria;2534.0;116.0;367.0;3.0;894.0;1273.0;60.0;58.0;8.0;3359.0;77.0;Africa
62;Moldova;2378.0;114.0;57.0;1.0;391.0;1930.0;80.0;589.0;14.0;9848.0;2441.0;Europe
63;Greece;2235.0;11.0;110.0;2.0;269.0;1856.0;67.0;214.0;11.0;53290.0;5113.0;Europe
64;Bangladesh;2144.0;306.0;84.0;9.0;66.0;1994.0;1.0;13.0;0.5;21307.0;129.0;Asia
65;Hungary;1834.0;71.0;172.0;16.0;231.0;1431.0;60.0;190.0;18.0;43901.0;4544.0;Europe
66;Croatia;1832.0;18.0;39.0;3.0;615.0;1178.0;27.0;446.0;9.0;21647.0;5273.0;Europe
67;Bahrain;1767.0;27.0;7.0;;741.0;1019.0;3.0;1038.0;4.0;82561.0;48520.0;Asia
68;Iceland;1760.0;6.0;9.0;;1291.0;460.0;3.0;5158.0;26.0;41091.0;120416.0;Europe
69;Kuwait;1751.0;93.0;6.0;1.0;280.0;1465.0;34.0;410.0;1.0;;;Asia
70;Kazakhstan;1615.0;69.0;17.0;;377.0;1221.0;22.0;86.0;0.9;100878.0;5373.0;Asia
71;Iraq;1513.0;31.0;82.0;1.0;953.0;478.0;;38.0;2.0;53955.0;1341.0;Asia
72;Estonia;1512.0;53.0;38.0;;162.0;1312.0;11.0;1140.0;29.0;39605.0;29856.0;Europe
73;Uzbekistan;1469.0;64.0;4.0;;194.0;1271.0;8.0;44.0;0.1;136000.0;4063.0;Asia
74;New Zealand;1422.0;13.0;11.0;;867.0;544.0;3.0;295.0;2.0;79078.0;16399.0;Australia/Oceania
75;Azerbaijan;1373.0;33.0;18.0;3.0;590.0;765.0;21.0;135.0;2.0;86607.0;8542.0;Asia
76;Slovenia;1317.0;13.0;70.0;4.0;190.0;1057.0;27.0;633.0;34.0;40580.0;19520.0;Europe
77;Bosnia and Herzegovina;1268.0;54.0;47.0;1.0;338.0;883.0;4.0;386.0;14.0;16868.0;5141.0;Europe
78;Armenia;1248.0;47.0;20.0;1.0;523.0;705.0;30.0;421.0;7.0;11796.0;3981.0;Asia
79;Lithuania;1239.0;90.0;33.0;;228.0;978.0;14.0;455.0;12.0;58816.0;21605.0;Europe
80;Oman;1180.0;111.0;6.0;;176.0;998.0;3.0;231.0;1.0;;;Asia
81;North Macedonia;1170.0;53.0;49.0;;164.0;957.0;15.0;562.0;24.0;11556.0;5547.0;Europe
82;Slovakia;1089.0;40.0;11.0;2.0;213.0;865.0;10.0;199.0;2.0;40953.0;7501.0;Europe
83;Hong Kong;1024.0;2.0;4.0;;568.0;452.0;9.0;137.0;0.5;131786.0;17579.0;Asia
84;Cameroon;1017.0;21.0;22.0;;177.0;818.0;;38.0;0.8;;;Africa
85;Cuba;986.0;63.0;32.0;1.0;227.0;727.0;15.0;87.0;3.0;25309.0;2234.0;North America
86;Afghanistan;933.0;27.0;30.0;;112.0;791.0;;24.0;0.8;;;Asia
87;Bulgaria;878.0;32.0;41.0;;153.0;684.0;35.0;126.0;6.0;26417.0;3802.0;Europe
88;Tunisia;864.0;;37.0;;43.0;784.0;33.0;73.0;3.0;14640.0;1239.0;Africa
89;Ghana;834.0;193.0;9.0;1.0;99.0;726.0;4.0;27.0;0.3;60916.0;1960.0;Africa
90;Cyprus;761.0;11.0;12.0;;79.0;670.0;8.0;630.0;10.0;32284.0;26739.0;Asia
91;Ivory Coast;742.0;54.0;6.0;;220.0;516.0;;28.0;0.2;;;Africa
92;Djibouti;732.0;;2.0;;76.0;654.0;;741.0;2.0;7486.0;7577.0;Africa
93;NO COUNTRY;712.0;;13.0;;644.0;55.0;7.0;;;;;
94;Latvia;712.0;30.0;5.0;;88.0;619.0;5.0;377.0;3.0;34697.0;18395.0;Europe
95;Andorra;704.0;8.0;35.0;;205.0;464.0;17.0;9111.0;453.0;1673.0;21653.0;Europe
96;Lebanon;672.0;4.0;21.0;;99.0;552.0;30.0;98.0;3.0;20225.0;2963.0;Asia
97;Costa Rica;649.0;;4.0;;88.0;557.0;10.0;127.0;0.8;9752.0;1914.0;North America
98;Niger;627.0;;18.0;;110.0;499.0;;26.0;0.7;4688.0;194.0;Africa
99;Burkina Faso;557.0;;35.0;;294.0;228.0;;27.0;2.0;;;Africa
100;Albania;548.0;9.0;26.0;;302.0;220.0;5.0;190.0;9.0;5311.0;1846.0;Europe
101;Guinea;518.0;41.0;3.0;;65.0;450.0;;39.0;0.2;;;Africa
102;Uruguay;508.0;6.0;9.0;;294.0;205.0;12.0;146.0;3.0;11749.0;3382.0;South America
103;Kyrgyzstan;506.0;17.0;5.0;;130.0;371.0;5.0;78.0;0.8;26147.0;4008.0;Asia
104;Bolivia;493.0;28.0;31.0;;31.0;431.0;3.0;42.0;3.0;3569.0;306.0;South America
105;Nigeria;493.0;;17.0;;159.0;317.0;2.0;2.0;0.08;7153.0;35.0;Africa
106;Channel Islands;470.0;;20.0;;73.0;377.0;;2703.0;115.0;3320.0;19095.0;Europe
107;Honduras;457.0;15.0;46.0;5.0;10.0;401.0;10.0;46.0;5.0;2396.0;242.0;North America
108;San Marino;455.0;20.0;39.0;;60.0;356.0;15.0;13410.0;1149.0;1605.0;47302.0;Europe
109;Malta;426.0;4.0;3.0;;99.0;324.0;4.0;965.0;7.0;23253.0;52663.0;Europe
110;Palestine;418.0;16.0;2.0;;69.0;347.0;;82.0;0.4;17329.0;3397.0;Asia
111;Jordan;413.0;6.0;7.0;;269.0;137.0;5.0;40.0;0.7;20500.0;2009.0;Asia
112;Réunion;407.0;5.0; ;;237.0;170.0;4.0;455.0;;;;Africa
113;Taiwan;398.0;3.0;6.0;;178.0;214.0;;17.0;0.3;52445.0;2202.0;Asia
114;Georgia;385.0;15.0;3.0;;84.0;298.0;6.0;97.0;0.8;5027.0;1260.0;Asia
115;Senegal;350.0;8.0;3.0;1.0;211.0;136.0;1.0;21.0;0.2;;;Africa
116;Mauritius;325.0;1.0;9.0;;180.0;136.0;3.0;256.0;7.0;9755.0;7670.0;Africa
117;DRC;307.0;20.0;25.0;2.0;26.0;256.0;;3.0;0.3;;;Africa
118;Montenegro;305.0;2.0;5.0;;55.0;245.0;7.0;486.0;8.0;3874.0;6168.0;Europe
119;Isle of Man;297.0;6.0;6.0;2.0;180.0;111.0;11.0;3493.0;71.0;2414.0;28389.0;Europe
120;Vietnam;268.0;; ;;201.0;67.0;8.0;3.0;;206253.0;2119.0;Asia
121;Kenya;262.0;16.0;12.0;1.0;60.0;190.0;2.0;5.0;0.2;10784.0;201.0;Africa
122;Mayotte;254.0;9.0;4.0;;117.0;133.0;6.0;931.0;15.0;1800.0;6598.0;Africa
123;Sri Lanka;248.0;4.0;7.0;;86.0;155.0;1.0;12.0;0.3;4768.0;223.0;Asia
124;Guatemala;235.0;21.0;7.0;;21.0;207.0;3.0;13.0;0.4;7200.0;402.0;North America
125;Venezuela;227.0;23.0;9.0;;113.0;105.0;4.0;8.0;0.3;299714.0;10540.0;South America
126;Mali;216.0;45.0;13.0;;41.0;162.0;;11.0;0.6;;;Africa
127;Paraguay;202.0;3.0;8.0;;35.0;159.0;1.0;28.0;1.0;4950.0;694.0;South America
128;El Salvador;190.0;13.0;7.0;;43.0;140.0;1.0;29.0;1.0;10191.0;1571.0;North America
129;Faeroe Islands;184.0;; ;;173.0;11.0;;3766.0;;5981.0;122403.0;Europe
130;Jamaica;163.0;20.0;5.0;;25.0;133.0;;55.0;2.0;1516.0;512.0;North America
131;Martinique;158.0;;8.0;;73.0;77.0;17.0;421.0;21.0;;;North America
132;Tanzania;147.0;;5.0;;11.0;131.0;4.0;2.0;0.08;;;Africa
133;Guadeloupe;145.0;;8.0;;67.0;70.0;13.0;362.0;20.0;;;North America
134;Congo;143.0;;6.0;;11.0;126.0;;26.0;1.0;;;Africa
135;Rwanda;143.0;; ;;65.0;78.0;;11.0;;6237.0;482.0;Africa
136;Brunei ;137.0;1.0;1.0;;113.0;23.0;2.0;313.0;2.0;11254.0;25725.0;Asia
137;Somalia;135.0;19.0;7.0;1.0;2.0;126.0;2.0;8.0;0.4;;;Africa
138;Gibraltar;132.0;; ;;111.0;21.0;1.0;3918.0;;1859.0;55178.0;Europe
139;Cambodia;122.0;; ;;103.0;19.0;1.0;7.0;;5768.0;345.0;Asia
140;Madagascar;120.0;3.0; ;;35.0;85.0;1.0;4.0;;2357.0;85.0;Africa
141;Trinidad and Tobago;114.0;;8.0;;21.0;85.0;;81.0;6.0;1320.0;943.0;North America
142;Gabon;108.0;;1.0;;7.0;100.0;;49.0;0.4;572.0;257.0;Africa
143;Ethiopia;105.0;9.0;3.0;;16.0;86.0;1.0;0.9;0.03;6890.0;60.0;Africa
144;Myanmar;98.0;10.0;5.0;1.0;5.0;88.0;;2.0;0.09;4065.0;75.0;Asia
145;Aruba;96.0;;2.0;;44.0;50.0;1.0;899.0;19.0;1358.0;12719.0;North America
146;French Guiana;96.0;; ;;64.0;32.0;2.0;321.0;;;;South America
147;Monaco;94.0;;3.0;;20.0;71.0;3.0;2395.0;76.0;;;Europe
148;Togo;84.0;1.0;5.0;;49.0;30.0;;10.0;0.6;4191.0;506.0;Africa
149;Bermuda;83.0;;5.0;;35.0;43.0;9.0;1333.0;80.0;552.0;8863.0;North America
