;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious, Critical;Tot Cases/1M pop;Deaths/ 1M pop;Total Tests;Tests/ 1M pop;Continent;1 Case every X people;1 Death every X people;1 Test every X ppl
0;USA;8514004.0;57351.0;226044.0;822.0;5539503.0;36235.0;2748457.0;15537.0;25676.0;682.0;127874018.0;385639.0;North America;39.0;1467.0;3.0
1;India;7648920.0;54184.0;115948.0;712.0;6792334.0;61717.0;740638.0;8944.0;5526.0;84.0;96116771.0;69444.0;Asia;181.0;11937.0;14.0
2;Brazil;5273954.0;22827.0;154837.0;611.0;4721593.0;39934.0;397524.0;8318.0;24759.0;727.0;17900000.0;84031.0;South America;40.0;1376.0;12.0
3;Russia;1431635.0;16319.0;24635.0;269.0;1085608.0;9704.0;321392.0;2300.0;9809.0;169.0;54675096.0;374606.0;Europe;102.0;5925.0;3.0
4;Spain;1029668.0;13873.0;34210.0;218.0;N/A;N/A;N/A;1911.0;22020.0;732.0;15503165.0;331545.0;Europe;45.0;1367.0;3.0
5;Argentina;1002662.0;;26716.0;;803965.0;;171981.0;4392.0;22124.0;589.0;2626406.0;57952.0;South America;45.0;1696.0;17.0
6;Colombia;974139.0;8256.0;29272.0;170.0;876731.0;8770.0;68136.0;2115.0;19084.0;573.0;4516832.0;88486.0;South America;52.0;1744.0;11.0
7;France;930745.0;20468.0;33885.0;262.0;106839.0;904.0;790021.0;2177.0;14250.0;519.0;13894126.0;212717.0;Europe;70.0;1928.0;5.0
8;Peru;870876.0;;33820.0;;784056.0;;53000.0;1094.0;26303.0;1021.0;4249458.0;128347.0;South America;38.0;979.0;8.0
9;Mexico;854926.0;3699.0;86338.0;171.0;623494.0;4458.0;145094.0;2617.0;6610.0;668.0;2187985.0;16917.0;North America;151.0;1498.0;59.0
10;UK;762542.0;21331.0;43967.0;241.0;N/A;N/A;N/A;629.0;11215.0;647.0;30187915.0;443979.0;Europe;89.0;1546.0;2.0
11;South Africa;706304.0;1050.0;18656.0;164.0;639568.0;4311.0;48080.0;546.0;11864.0;313.0;4581346.0;76955.0;Africa;84.0;3191.0;13.0
12;Iran;539670.0;5039.0;31034.0;322.0;434676.0;3316.0;73960.0;4810.0;6401.0;368.0;4570243.0;54204.0;Asia;156.0;2717.0;18.0
13;Chile;494478.0;1099.0;13702.0;26.0;466643.0;1622.0;14133.0;770.0;25800.0;715.0;3955343.0;206377.0;South America;39.0;1399.0;5.0
14;Iraq;434598.0;3920.0;10366.0;49.0;366134.0;2602.0;58098.0;466.0;10734.0;256.0;2665530.0;65834.0;Asia;93.0;3906.0;15.0
15;Italy;434449.0;10874.0;36705.0;89.0;255005.0;2046.0;142739.0;870.0;7189.0;607.0;13784181.0;228084.0;Europe;139.0;1646.0;4.0
16;Bangladesh;391586.0;1380.0;5699.0;18.0;307141.0;1542.0;78746.0;;2371.0;35.0;2192325.0;13272.0;Asia;422.0;28985.0;75.0
17;Germany;380893.0;7162.0;9955.0;56.0;298300.0;3500.0;72638.0;851.0;4542.0;119.0;19276507.0;229851.0;Europe;220.0;8424.0;4.0
18;Indonesia;368842.0;3602.0;12734.0;117.0;293653.0;4410.0;62455.0;;1344.0;46.0;4123624.0;15028.0;Asia;744.0;21548.0;67.0
19;Philippines;360775.0;1640.0;6690.0;17.0;310642.0;369.0;43443.0;1562.0;3279.0;61.0;4422906.0;40202.0;Asia;305.0;16445.0;25.0
20;Turkey;351413.0;1894.0;9445.0;74.0;306939.0;1512.0;35029.0;1545.0;4153.0;112.0;12641126.0;149402.0;Asia;241.0;8958.0;7.0
21;Saudi Arabia;342968.0;385.0;5217.0;16.0;329270.0;375.0;8481.0;840.0;9806.0;149.0;7457497.0;213220.0;Asia;102.0;6704.0;5.0
22;Pakistan;324077.0;618.0;6673.0;14.0;308020.0;611.0;9384.0;544.0;1459.0;30.0;4122069.0;18554.0;Asia;686.0;33293.0;54.0
23;Ukraine;309107.0;5469.0;5786.0;113.0;129533.0;3044.0;173788.0;177.0;7081.0;133.0;2815833.0;64505.0;Europe;141.0;7545.0;16.0
24;Israel;306162.0;1286.0;2278.0;15.0;282505.0;4111.0;21379.0;614.0;33287.0;248.0;4263393.0;463534.0;Asia;30.0;4038.0;2.0
25;Netherlands;244391.0;8165.0;6814.0;46.0;N/A;N/A;N/A;445.0;14253.0;397.0;2872319.0;167517.0;Europe;70.0;2516.0;6.0
26;Belgium;230480.0;8227.0;10443.0;30.0;21214.0;56.0;198823.0;446.0;19861.0;900.0;4157817.0;358281.0;Europe;50.0;1111.0;3.0
27;Canada;203198.0;1761.0;9792.0;14.0;171368.0;1697.0;22038.0;188.0;5370.0;259.0;8748075.0;231175.0;North America;186.0;3865.0;4.0
28;Poland;192539.0;9291.0;3721.0;107.0;95956.0;1942.0;92862.0;725.0;5089.0;98.0;4050049.0;107048.0;Europe;197.0;10168.0;9.0
29;Czechia;188773.0;6811.0;1600.0;87.0;75645.0;737.0;111528.0;634.0;17618.0;149.0;1844788.0;172168.0;Europe;57.0;6697.0;6.0
30;Romania;186254.0;3400.0;5996.0;65.0;134395.0;2313.0;45863.0;768.0;9702.0;312.0;2890071.0;150539.0;Europe;103.0;3202.0;7.0
31;Morocco;179003.0;3254.0;3027.0;51.0;148838.0;2417.0;27138.0;592.0;4832.0;82.0;3084528.0;83272.0;Africa;207.0;12237.0;12.0
32;Ecuador;154115.0;692.0;12404.0;9.0;134187.0;;7524.0;365.0;8696.0;700.0;499671.0;28193.0;South America;115.0;1429.0;35.0
33;Bolivia;139890.0;119.0;8502.0;21.0;104957.0;474.0;26431.0;71.0;11935.0;725.0;322128.0;27484.0;South America;84.0;1379.0;36.0
34;Nepal;139129.0;3093.0;765.0;8.0;96609.0;2108.0;41755.0;;4750.0;26.0;1314779.0;44884.0;Asia;211.0;38291.0;22.0
35;Qatar;129944.0;273.0;224.0;;126866.0;216.0;2854.0;44.0;46280.0;80.0;892934.0;318019.0;Asia;22.0;12535.0;3.0
36;Panama;125181.0;;2574.0;;101545.0;;21062.0;115.0;28877.0;594.0;585821.0;135137.0;North America;35.0;1684.0;7.0
37;Dominican Republic;121973.0;306.0;2204.0;1.0;99271.0;391.0;20498.0;154.0;11210.0;203.0;547737.0;50341.0;North America;89.0;4937.0;20.0
38;Kuwait;117718.0;886.0;714.0;4.0;109198.0;592.0;7806.0;133.0;27444.0;166.0;842102.0;196320.0;Asia;36.0;6008.0;5.0
39;UAE;117594.0;1077.0;470.0;4.0;110313.0;1502.0;6811.0;;11847.0;47.0;11882651.0;1197096.0;Asia;84.0;21120.0;1.0
40;Oman;111033.0;439.0;1122.0;8.0;96949.0;549.0;12962.0;207.0;21582.0;218.0;376700.0;73220.0;Asia;46.0;4585.0;14.0
41;Kazakhstan;109623.0;115.0;1768.0;;105145.0;144.0;2710.0;221.0;5817.0;94.0;3175675.0;168524.0;Asia;172.0;10658.0;6.0
42;Sweden;106380.0;;5922.0;6.0;N/A;N/A;N/A;30.0;10514.0;585.0;1925218.0;190271.0;Europe;95.0;1709.0;5.0
43;Egypt;105705.0;158.0;6142.0;12.0;98413.0;99.0;1150.0;41.0;1027.0;60.0;135000.0;1312.0;Africa;974.0;16755.0;762.0
44;Portugal;103736.0;1876.0;2213.0;15.0;61898.0;1932.0;39625.0;176.0;10183.0;217.0;3035073.0;297918.0;Europe;98.0;4604.0;3.0
45;Guatemala;102219.0;620.0;3546.0;5.0;91604.0;572.0;7069.0;5.0;5674.0;197.0;394295.0;21888.0;North America;176.0;5080.0;46.0
46;Costa Rica;97922.0;847.0;1222.0;18.0;60109.0;529.0;36591.0;215.0;19170.0;239.0;271394.0;53130.0;North America;52.0;4180.0;19.0
47;Japan;93480.0;353.0;1676.0;2.0;86513.0;572.0;5291.0;143.0;740.0;13.0;2465513.0;19512.0;Asia;1352.0;75393.0;51.0
48;Ethiopia;90490.0;630.0;1371.0;6.0;43638.0;489.0;45481.0;301.0;781.0;12.0;1410496.0;12180.0;Africa;1280.0;84465.0;82.0
