;ID;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious, Critical;Tot Cases/1M pop;Deaths/ 1M pop;Total Tests;Tests/ 1M pop;Continent;1 Case every X people;1 Death every X people;1 Test every X ppl
0;1.0;USA;7109920.0;11983.0;205914.0;443.0;4365548.0;19438.0;2538458.0;14073.0;21451.0;621.0;99834939.0;301209.0;North America;47.0;1610.0;3.0
1;2.0;India;5700508.0;60012.0;90619.0;598.0;4641811.0;59991.0;968078.0;8944.0;4122.0;66.0;66279462.0;47921.0;Asia;243.0;15263.0;21.0
2;3.0;Brazil;4595335.0;;138159.0;;3945627.0;;511549.0;8318.0;21584.0;649.0;17900000.0;84075.0;South America;46.0;1541.0;12.0
3;4.0;Russia;1122241.0;6431.0;19799.0;150.0;923699.0;5750.0;178743.0;2300.0;7689.0;136.0;43600000.0;298735.0;Europe;130.0;7372.0;3.0
4;5.0;Colombia;777537.0;;24570.0;;650801.0;;102166.0;863.0;15244.0;482.0;3460714.0;67849.0;South America;66.0;2076.0;15.0
5;6.0;Peru;776546.0;;31586.0;;629094.0;;115866.0;1405.0;23478.0;955.0;3724872.0;112618.0;South America;43.0;1047.0;9.0
6;7.0;Mexico;705263.0;4683.0;74348.0;651.0;506732.0;3750.0;124183.0;2672.0;5457.0;575.0;1604845.0;12418.0;North America;183.0;1738.0;81.0
7;8.0;Spain;682267.0;;30904.0;;N/A;N/A;N/A;1417.0;14591.0;661.0;11820505.0;252797.0;Europe;69.0;1513.0;4.0
8;9.0;South Africa;663282.0;;16118.0;;592904.0;;54260.0;539.0;11152.0;271.0;4064117.0;68330.0;Africa;90.0;3690.0;15.0
9;10.0;Argentina;652174.0;;13952.0;;517228.0;;120994.0;3362.0;14400.0;308.0;1790835.0;39541.0;South America;69.0;3246.0;25.0
10;11.0;France;468069.0;;31416.0;;93538.0;;343115.0;951.0;7167.0;481.0;10000000.0;153123.0;Europe;140.0;2079.0;7.0
11;12.0;Chile;449903.0;1380.0;12345.0;24.0;425165.0;1989.0;12393.0;907.0;23489.0;645.0;3084117.0;161021.0;South America;43.0;1552.0;6.0
12;13.0;Iran;432798.0;3605.0;24840.0;184.0;365846.0;2109.0;42112.0;3948.0;5138.0;295.0;3828330.0;45448.0;Asia;195.0;3391.0;22.0
13;14.0;UK;409729.0;6178.0;41862.0;37.0;N/A;N/A;N/A;211.0;6028.0;616.0;22616796.0;332758.0;Europe;166.0;1624.0;3.0
14;15.0;Bangladesh;353844.0;1666.0;5044.0;37.0;262953.0;2163.0;85847.0;;2144.0;31.0;1862637.0;11284.0;Asia;466.0;32724.0;89.0
15;16.0;Iraq;332635.0;5055.0;8754.0;72.0;264988.0;3231.0;58893.0;541.0;8229.0;217.0;2121304.0;52479.0;Asia;122.0;4618.0;19.0
16;17.0;Saudi Arabia;331359.0;561.0;4569.0;27.0;313786.0;1102.0;13004.0;1095.0;9485.0;131.0;6190822.0;177207.0;Asia;105.0;7646.0;6.0
17;18.0;Turkey;308069.0;1767.0;7711.0;72.0;270723.0;1027.0;29635.0;1561.0;3644.0;91.0;9608370.0;113648.0;Asia;274.0;10964.0;9.0
18;19.0;Pakistan;307418.0;532.0;6432.0;8.0;293916.0;757.0;7070.0;558.0;1386.0;29.0;3264216.0;14714.0;Asia;722.0;34491.0;68.0
19;20.0;Italy;302537.0;1640.0;35758.0;20.0;220665.0;995.0;46114.0;244.0;5005.0;592.0;10679675.0;176695.0;Europe;200.0;1690.0;6.0
20;21.0;Philippines;294591.0;2833.0;5091.0;44.0;231373.0;765.0;58127.0;1048.0;2680.0;46.0;3462679.0;31505.0;Asia;373.0;21589.0;32.0
21;22.0;Germany;278192.0;1016.0;9505.0;14.0;247900.0;;20787.0;267.0;3318.0;113.0;14557136.0;173618.0;Europe;301.0;8821.0;6.0
22;23.0;Indonesia;257388.0;4465.0;9977.0;140.0;187958.0;3660.0;59453.0;;939.0;36.0;3032250.0;11059.0;Asia;1065.0;27481.0;90.0
23;24.0;Israel;200041.0;6667.0;1316.0;31.0;144401.0;3650.0;54324.0;634.0;21749.0;143.0;3195429.0;347420.0;Asia;46.0;6989.0;3.0
24;25.0;Ukraine;184734.0;3497.0;3705.0;63.0;81670.0;1769.0;99359.0;177.0;4230.0;85.0;2079482.0;47616.0;Europe;236.0;11787.0;21.0
25;26.0;Canada;147472.0;809.0;9241.0;7.0;127399.0;495.0;10832.0;86.0;3900.0;244.0;6766982.0;178938.0;North America;256.0;4092.0;6.0
26;27.0;Bolivia;131453.0;467.0;7693.0;39.0;90853.0;613.0;32907.0;71.0;11227.0;657.0;290749.0;24831.0;South America;89.0;1522.0;40.0
27;28.0;Ecuador;127643.0;;11126.0;;102852.0;;13665.0;375.0;7210.0;628.0;392684.0;22181.0;South America;139.0;1591.0;45.0
28;29.0;Qatar;124175.0;258.0;212.0;1.0;121006.0;240.0;2957.0;64.0;44225.0;76.0;739091.0;263227.0;Asia;23.0;13244.0;4.0
29;30.0;Romania;116415.0;1767.0;4550.0;47.0;93558.0;1389.0;18307.0;498.0;6061.0;237.0;2278125.0;118605.0;Europe;165.0;4221.0;8.0
30;31.0;Dominican Republic;109737.0;468.0;2074.0;10.0;83434.0;693.0;24229.0;208.0;10093.0;191.0;455525.0;41897.0;North America;99.0;5242.0;24.0
31;32.0;Kazakhstan;107450.0;76.0;1699.0;;102064.0;;3687.0;221.0;5707.0;90.0;2733455.0;145184.0;Asia;175.0;11082.0;7.0
32;33.0;Panama;107284.0;;2285.0;;83318.0;;21681.0;121.0;24777.0;528.0;442249.0;102136.0;North America;40.0;1895.0;10.0
33;34.0;Morocco;105346.0;;1889.0;;85883.0;;17574.0;277.0;2846.0;51.0;2433869.0;65763.0;Africa;351.0;19592.0;15.0
34;35.0;Belgium;105226.0;1834.0;9955.0;5.0;19039.0;62.0;76232.0;94.0;9070.0;858.0;2942559.0;253643.0;Europe;110.0;1165.0;4.0
35;36.0;Egypt;102254.0;;5806.0;;91143.0;;5305.0;41.0;995.0;56.0;135000.0;1314.0;Africa;1005.0;17700.0;761.0
36;37.0;Kuwait;101299.0;616.0;590.0;2.0;92341.0;729.0;8368.0;101.0;23642.0;138.0;720509.0;168156.0;Asia;42.0;7262.0;6.0
37;38.0;Netherlands;100597.0;2357.0;6296.0;5.0;N/A;N/A;N/A;108.0;5868.0;367.0;2240526.0;130692.0;Europe;170.0;2723.0;8.0
38;39.0;Oman;95339.0;628.0;875.0;10.0;86482.0;287.0;7982.0;190.0;18566.0;170.0;309212.0;60214.0;Asia;54.0;5869.0;17.0
39;40.0;Sweden;89756.0;;5876.0;5.0;N/A;N/A;N/A;15.0;8875.0;581.0;1532632.0;151541.0;Europe;113.0;1721.0;7.0
40;41.0;UAE;87530.0;1083.0;406.0;1.0;76995.0;970.0;10129.0;;8826.0;41.0;9036933.0;911218.0;Asia;113.0;24427.0;1.0
41;42.0;Guatemala;87442.0;819.0;3154.0;17.0;76459.0;590.0;7829.0;5.0;4861.0;175.0;300215.0;16688.0;North America;206.0;5704.0;60.0
42;43.0;Poland;81673.0;974.0;2344.0;28.0;65561.0;589.0;13768.0;89.0;2159.0;62.0;3177776.0;83986.0;Europe;463.0;16142.0;12.0
43;44.0;Japan;79438.0;;1508.0;;71648.0;;6282.0;164.0;629.0;12.0;1855240.0;14679.0;Asia;1591.0;83811.0;68.0
44;45.0;Belarus;76357.0;253.0;796.0;5.0;73564.0;178.0;1997.0;;8081.0;84.0;1759393.0;186207.0;Europe;124.0;11870.0;5.0
45;46.0;Honduras;72306.0;231.0;2206.0;2.0;23230.0;619.0;46870.0;20.0;7274.0;222.0;172323.0;17336.0;North America;137.0;4506.0;58.0
