;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious, Critical;Tot Cases/1M pop;Deaths/ 1M pop;Total Tests;Tests/ 1M pop;Continent;1 Case every X people;1 Death every X people;1 Test every X ppl
81;Malaysia;72694.0;1335.0;382.0;2.0;61273.0;1069.0;11039.0;126.0;2234.0;12.0;2787102.0;85639.0;Asia;448.0;85195.0;12.0
82;Nigeria;69255.0;318.0;1180.0;;64774.0;124.0;3301.0;10.0;332.0;6.0;803621.0;3858.0;Africa;3008.0;176538.0;259.0
83;North Macedonia;67968.0;657.0;1924.0;23.0;43646.0;774.0;22398.0;138.0;32625.0;924.0;348795.0;167421.0;Europe;31.0;1083.0;6.0
84;Singapore;58260.0;5.0;29.0;;58160.0;2.0;71.0;;9925.0;5.0;4658858.0;793639.0;Asia;101.0;202422.0;1.0
85;Ghana;52198.0;102.0;325.0;;51019.0;95.0;854.0;19.0;1665.0;10.0;602106.0;19206.0;Africa;601.0;96462.0;52.0
86;Afghanistan;47901.0;260.0;1875.0;10.0;37782.0;297.0;8244.0;93.0;1219.0;48.0;158811.0;4041.0;Asia;820.0;20961.0;247.0
87;Albania;42988.0;840.0;905.0;16.0;21617.0;331.0;20466.0;27.0;14945.0;315.0;199609.0;69395.0;Europe;67.0;3178.0;14.0
88;El Salvador;40131.0;201.0;1159.0;6.0;36525.0;123.0;2447.0;65.0;6174.0;178.0;564906.0;86903.0;North America;162.0;5609.0;12.0
89;Norway;38323.0;250.0;354.0;;27414.0;;10555.0;37.0;7045.0;65.0;2350736.0;432154.0;Europe;142.0;15366.0;2.0
90;Montenegro;38246.0;367.0;533.0;3.0;26999.0;190.0;10714.0;68.0;60891.0;849.0;143533.0;228519.0;Europe;16.0;1178.0;4.0
91;Luxembourg;38215.0;531.0;353.0;3.0;28029.0;;9833.0;40.0;60625.0;560.0;1418680.0;2250623.0;Europe;16.0;1786.0;0.0
92;S. Korea;37546.0;631.0;545.0;5.0;29128.0;211.0;7873.0;125.0;732.0;11.0;3194867.0;62292.0;Asia;1366.0;94107.0;16.0
93;Australia;27965.0;9.0;908.0;;25639.0;3.0;1418.0;;1091.0;35.0;10184257.0;397396.0;Australia/Oceania;916.0;28224.0;3.0
94;Sri Lanka;27877.0;649.0;140.0;3.0;20460.0;370.0;7277.0;;1299.0;7.0;903280.0;42107.0;Asia;770.0;153230.0;24.0
95;Finland;27631.0;413.0;415.0;;18100.0;;9116.0;21.0;4984.0;75.0;2049857.0;369712.0;Europe;201.0;13360.0;3.0
96;Cameroon;24752.0;;443.0;;23344.0;;965.0;52.0;923.0;17.0;149000.0;5554.0;Africa;1084.0;60558.0;180.0
97;Uganda;22499.0;311.0;206.0;;9175.0;58.0;13118.0;;485.0;4.0;641893.0;13848.0;Africa;2060.0;225008.0;72.0
98;Ivory Coast;21485.0;44.0;132.0;;21109.0;19.0;244.0;;806.0;5.0;225399.0;8456.0;Africa;1241.0;201942.0;118.0
99;Latvia;21313.0;526.0;262.0;9.0;1866.0;;19185.0;46.0;11355.0;140.0;672603.0;358333.0;Europe;88.0;7164.0;3.0
100;Sudan;19468.0;272.0;1295.0;5.0;11021.0;79.0;7152.0;;440.0;29.0;;;Africa;2275.0;34197.0;
101;Zambia;17916.0;18.0;364.0;;17173.0;5.0;379.0;;963.0;20.0;440644.0;23687.0;Africa;1038.0;51106.0;42.0
102;Madagascar;17513.0;;255.0;;16927.0;;331.0;16.0;626.0;9.0;95472.0;3410.0;Africa;1598.0;109780.0;293.0
103;Senegal;16477.0;80.0;338.0;1.0;15776.0;45.0;363.0;8.0;973.0;20.0;236713.0;13981.0;Africa;1028.0;50093.0;72.0
104;Mozambique;16244.0;111.0;133.0;;14416.0;73.0;1695.0;;514.0;4.0;238362.0;7537.0;Africa;1947.0;237797.0;133.0
105;Angola;15591.0;55.0;354.0;;8338.0;3.0;6899.0;14.0;468.0;11.0;171247.0;5143.0;Africa;2136.0;94064.0;194.0
106;French Polynesia;15107.0;;79.0;;4842.0;;10186.0;25.0;53645.0;281.0;26355.0;93586.0;Australia/Oceania;19.0;3565.0;11.0
107;Namibia;15078.0;128.0;152.0;;13939.0;31.0;987.0;5.0;5888.0;59.0;164815.0;64365.0;Africa;170.0;16846.0;16.0
108;Estonia;14978.0;479.0;131.0;5.0;8959.0;40.0;5888.0;17.0;11288.0;99.0;511618.0;385567.0;Europe;89.0;10129.0;3.0
109;DRC;13527.0;114.0;344.0;2.0;11947.0;90.0;1236.0;;149.0;4.0;;;Africa;6706.0;263703.0;
110;Guinea;13233.0;;76.0;;12355.0;;802.0;24.0;996.0;6.0;79810.0;6008.0;Africa;1004.0;174790.0;166.0
111;Maldives;13198.0;39.0;47.0;;12321.0;57.0;830.0;12.0;24233.0;86.0;251156.0;461154.0;Asia;41.0;11588.0;2.0
112;Cyprus;12451.0;270.0;61.0;4.0;2057.0;;10333.0;15.0;10280.0;50.0;639047.0;527630.0;Asia;97.0;19855.0;2.0
113;Tajikistan;12428.0;39.0;87.0;;11833.0;37.0;508.0;;1291.0;9.0;;;Asia;775.0;110679.0;
114;Botswana;11531.0;;34.0;;8978.0;;2519.0;1.0;4861.0;14.0;438332.0;184800.0;Africa;206.0;69763.0;5.0
115;French Guiana;11407.0;;71.0;;9995.0;;1341.0;1.0;37775.0;235.0;85265.0;282359.0;South America;26.0;4253.0;4.0
116;Jamaica;11120.0;57.0;265.0;4.0;6998.0;132.0;3857.0;7.0;3748.0;89.0;119099.0;40144.0;North America;267.0;11195.0;25.0
117;Cabo Verde;11063.0;27.0;109.0;;10596.0;55.0;358.0;23.0;19805.0;195.0;105672.0;189175.0;Africa;50.0;5125.0;5.0
118;Zimbabwe;10718.0;101.0;291.0;;8880.0;36.0;1547.0;;717.0;19.0;186397.0;12463.0;Africa;1395.0;51395.0;80.0
119;Malta;10520.0;97.0;151.0;2.0;8396.0;107.0;1973.0;18.0;23798.0;342.0;445394.0;1007556.0;Europe;42.0;2928.0;1.0
120;Mauritania;9516.0;157.0;188.0;4.0;7849.0;14.0;1479.0;30.0;2024.0;40.0;106996.0;22757.0;Africa;494.0;25009.0;44.0
121;Haiti;9370.0;;233.0;;8146.0;;991.0;;817.0;20.0;34734.0;3030.0;North America;1223.0;49195.0;330.0
122;Gabon;9254.0;;60.0;;9106.0;;88.0;6.0;4116.0;27.0;311091.0;138378.0;Africa;243.0;37469.0;7.0
123;Cuba;8782.0;68.0;136.0;;7963.0;54.0;683.0;8.0;776.0;12.0;1176522.0;103900.0;North America;1289.0;83262.0;10.0
124;Guadeloupe;8427.0;;149.0;;2242.0;;6036.0;7.0;21059.0;372.0;77192.0;192906.0;North America;47.0;2686.0;5.0
125;Syria;8403.0;83.0;447.0;5.0;3943.0;64.0;4013.0;;475.0;25.0;;;Asia;2104.0;39556.0;
126;Réunion;8200.0;;41.0;;7729.0;;430.0;17.0;9131.0;46.0;48859.0;54404.0;Africa;110.0;21904.0;18.0
127;Belize;7769.0;168.0;173.0;1.0;3849.0;97.0;3747.0;4.0;19388.0;432.0;43194.0;107791.0;North America;52.0;2316.0;9.0
128;Bahamas;7570.0;;163.0;;5995.0;;1412.0;;19171.0;413.0;44502.0;112701.0;North America;52.0;2422.0;9.0
129;Uruguay;7303.0;338.0;82.0;1.0;5062.0;116.0;2159.0;26.0;2099.0;24.0;468182.0;134575.0;South America;476.0;42426.0;7.0
130;Andorra;7050.0;45.0;78.0;;6238.0;67.0;734.0;20.0;91181.0;1009.0;168635.0;2181029.0;Europe;11.0;991.0;0.0
131;Hong Kong;6898.0;95.0;112.0;;5567.0;56.0;1219.0;31.0;917.0;15.0;4382709.0;582552.0;Asia;1091.0;67172.0;2.0
