;ID;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious, Critical;Tot Cases/1M pop;Deaths/ 1M pop;Total Tests;Tests/ 1M pop;Continent;1 Case every X people;1 Death every X people;1 Test every X ppl
8;1.0;USA;4371839.0;;149849.0;;2090129.0;;2131861.0;18986.0;13202.0;453.0;54219575.0;163736.0;North America;76.0;2210.0;6.0
9;2.0;Brazil;2419901.0;;87052.0;;1634274.0;;698575.0;8318.0;11379.0;409.0;12601096.0;59253.0;South America;88.0;2443.0;17.0
10;3.0;India;1437976.0;1957.0;32826.0;14.0;918906.0;171.0;486244.0;8944.0;1041.0;24.0;16806803.0;12171.0;Asia;960.0;42068.0;82.0
11;4.0;Russia;818120.0;5635.0;13354.0;85.0;603329.0;3079.0;201437.0;2300.0;5606.0;92.0;27141966.0;185982.0;Europe;178.0;10928.0;5.0
12;5.0;South Africa;445433.0;;6769.0;;265077.0;;173587.0;539.0;7504.0;114.0;2773778.0;46729.0;Africa;133.0;8769.0;21.0
13;6.0;Mexico;390516.0;5480.0;43680.0;306.0;251505.0;4327.0;95331.0;3922.0;3027.0;339.0;918381.0;7118.0;North America;330.0;2954.0;140.0
14;7.0;Peru;384797.0;;18229.0;;267850.0;;98718.0;1424.0;11660.0;552.0;2230247.0;67578.0;South America;86.0;1810.0;15.0
15;8.0;Chile;345790.0;;9112.0;;318095.0;;18583.0;1592.0;18078.0;476.0;1524533.0;79703.0;South America;55.0;2099.0;13.0
16;9.0;Spain;319501.0;;28432.0;;N/A;N/A;N/A;617.0;6833.0;608.0;6320836.0;135187.0;Europe;146.0;1644.0;7.0
17;10.0;UK;299426.0;;45752.0;;N/A;N/A;N/A;104.0;4409.0;674.0;14794369.0;217848.0;Europe;227.0;1484.0;5.0
18;11.0;Iran;291172.0;;15700.0;;253213.0;;22259.0;3695.0;3464.0;187.0;2327850.0;27691.0;Asia;289.0;5354.0;36.0
19;12.0;Pakistan;274289.0;1176.0;5842.0;20.0;241026.0;3592.0;27421.0;1229.0;1240.0;26.0;1890236.0;8547.0;Asia;806.0;37858.0;117.0
20;13.0;Saudi Arabia;266941.0;;2733.0;;220323.0;;43885.0;2120.0;7660.0;78.0;3056956.0;87719.0;Asia;131.0;12751.0;11.0
21;14.0;Colombia;248976.0;;8525.0;;125037.0;;115414.0;1493.0;4890.0;167.0;1409124.0;27673.0;South America;205.0;5973.0;36.0
22;15.0;Italy;246118.0;;35107.0;;198446.0;;12565.0;44.0;4071.0;581.0;6560572.0;108520.0;Europe;246.0;1722.0;9.0
23;16.0;Turkey;226100.0;;5613.0;;209487.0;;11000.0;1249.0;2679.0;67.0;4572688.0;54178.0;Asia;373.0;15037.0;18.0
