;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious, Critical;Tot Cases/1M pop;Deaths/ 1M pop;Total Tests;Tests/ 1M pop;Continent
8;USA;533115.0;236.0;20580.0;3.0;30502.0;482033.0;11471.0;1611.0;62.0;2693758.0;8138.0;North America
9;Spain;166019.0;2992.0;16972.0;366.0;62391.0;86656.0;7371.0;3551.0;363.0;355000.0;7593.0;Europe
10;Italy;152271.0;;19468.0;;32534.0;100269.0;3381.0;2518.0;322.0;963473.0;15935.0;Europe
11;France;129654.0;;13832.0;;26391.0;89431.0;6883.0;1986.0;212.0;333807.0;5114.0;Europe
12;Germany;125452.0;;2871.0;;57400.0;65181.0;4895.0;1497.0;34.0;1317887.0;15730.0;Europe
13;UK;78991.0;;9875.0;;344.0;68772.0;1559.0;1164.0;145.0;334974.0;4934.0;Europe
14;Iran;71686.0;1657.0;4474.0;117.0;43894.0;23318.0;3930.0;853.0;53.0;263388.0;3136.0;Asia
15;Turkey;52167.0;;1101.0;;2965.0;48101.0;1626.0;619.0;13.0;340380.0;4036.0;Asia
16;Belgium;29647.0;1629.0;3600.0;254.0;6463.0;19584.0;1223.0;2558.0;311.0;102151.0;8814.0;Europe
17;Netherlands;25587.0;1174.0;2737.0;94.0;250.0;22600.0;1384.0;1493.0;160.0;101534.0;5926.0;Europe
18;Switzerland;25300.0;193.0;1036.0;;12100.0;12164.0;386.0;2923.0;120.0;190000.0;21954.0;Europe
19;Canada;23318.0;;653.0;;6428.0;16237.0;557.0;618.0;17.0;401552.0;10639.0;North America
20;Brazil;20964.0;2.0;1141.0;1.0;173.0;19650.0;296.0;99.0;5.0;62985.0;296.0;South America
21;Portugal;16585.0;598.0;504.0;34.0;277.0;15804.0;233.0;1627.0;49.0;162798.0;15966.0;Europe
22;Russia;15770.0;2186.0;130.0;24.0;1291.0;14349.0;8.0;108.0;0.9;1200000.0;8223.0;Europe
23;Austria;13945.0;139.0;350.0;13.0;6987.0;6608.0;243.0;1548.0;39.0;144877.0;16086.0;Europe
