;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious, Critical;Tot Cases/1M pop;Deaths/ 1M pop;Total Tests;Tests/ 1M pop;Continent
24;Israel;10878.0;135.0;103.0;2.0;1388.0;9387.0;174.0;1257.0;12.0;117339.0;13557.0;Asia
25;S. Korea;10512.0;32.0;214.0;3.0;7368.0;2930.0;55.0;205.0;4.0;514621.0;10038.0;Asia
26;Sweden;10151.0;;887.0;;381.0;8883.0;789.0;1005.0;88.0;54700.0;5416.0;Europe
27;Ireland;8928.0;;320.0;;25.0;8583.0;194.0;1808.0;65.0;53000.0;10734.0;Europe
28;India;8504.0;58.0;289.0;1.0;972.0;7243.0;;6.0;0.2;189111.0;137.0;Asia
29;Ecuador;7257.0;;315.0;;411.0;6531.0;184.0;411.0;18.0;21568.0;1222.0;South America
30;Chile;6927.0;;73.0;;1864.0;4990.0;383.0;362.0;4.0;76374.0;3995.0;South America
31;Peru;6848.0;;181.0;;1739.0;4928.0;142.0;208.0;5.0;67712.0;2054.0;South America
32;Japan;6748.0;;108.0;;762.0;5878.0;117.0;53.0;0.9;68771.0;544.0;Asia
33;Norway;6459.0;50.0;123.0;4.0;32.0;6304.0;67.0;1191.0;23.0;126486.0;23332.0;Europe
34;Poland;6356.0;;208.0;;375.0;5773.0;160.0;168.0;5.0;129560.0;3423.0;Europe
35;Australia;6313.0;10.0;59.0;3.0;3338.0;2916.0;81.0;248.0;2.0;353941.0;13880.0;Australia/Oceania
36;Romania;6300.0;310.0;306.0;15.0;852.0;5142.0;204.0;327.0;16.0;62328.0;3240.0;Europe
37;Denmark;5996.0;;260.0;;1955.0;3781.0;106.0;1035.0;45.0;67771.0;11700.0;Europe
38;Czechia;5905.0;3.0;132.0;3.0;422.0;5351.0;87.0;551.0;12.0;125126.0;11684.0;Europe
39;Pakistan;5170.0;159.0;88.0;2.0;1026.0;4056.0;37.0;23.0;0.4;61801.0;280.0;Asia
40;Malaysia;4683.0;153.0;76.0;3.0;2108.0;2499.0;66.0;145.0;2.0;71897.0;2221.0;Asia
41;Philippines;4648.0;220.0;297.0;50.0;197.0;4154.0;1.0;42.0;3.0;33814.0;309.0;Asia
42;Indonesia;4241.0;399.0;373.0;46.0;359.0;3509.0;;16.0;1.0;19452.0;71.0;Asia
43;Mexico;4219.0;375.0;273.0;40.0;1772.0;2174.0;89.0;33.0;2.0;35479.0;275.0;North America
44;Saudi Arabia;4033.0;;52.0;;720.0;3261.0;67.0;116.0;1.0;115585.0;3320.0;Asia
45;UAE;3736.0;;20.0;;588.0;3128.0;1.0;378.0;2.0;648195.0;65538.0;Asia
46;Serbia;3380.0;;74.0;;118.0;3188.0;145.0;387.0;8.0;16399.0;1877.0;Europe
47;Luxembourg;3270.0;;62.0;;500.0;2708.0;30.0;5224.0;99.0;28965.0;46272.0;Europe
48;Panama;3234.0;;79.0;;23.0;3132.0;104.0;750.0;18.0;14588.0;3381.0;North America
49;Qatar;2979.0;251.0;7.0;1.0;275.0;2697.0;37.0;1034.0;2.0;49102.0;17043.0;Asia
50;Finland;2974.0;69.0;56.0;7.0;300.0;2618.0;80.0;537.0;10.0;45019.0;8125.0;Europe
51;Ukraine;2777.0;266.0;83.0;10.0;89.0;2605.0;45.0;63.0;2.0;30314.0;693.0;Europe
52;Dominican Republic;2759.0;;135.0;;108.0;2516.0;147.0;254.0;12.0;8469.0;781.0;North America
53;Colombia;2709.0;;100.0;;214.0;2395.0;92.0;53.0;2.0;40603.0;798.0;South America
54;Belarus;2578.0;352.0;26.0;3.0;203.0;2349.0;50.0;273.0;3.0;64000.0;6773.0;Europe
55;Thailand;2551.0;33.0;38.0;3.0;1218.0;1295.0;61.0;37.0;0.5;71860.0;1030.0;Asia
56;Singapore;2299.0;;8.0;;528.0;1763.0;31.0;393.0;1.0;72680.0;12423.0;Asia
57;Argentina;2142.0;;90.0;1.0;440.0;1612.0;115.0;47.0;2.0;18027.0;399.0;South America
58;Greece;2081.0;;93.0;;269.0;1719.0;75.0;200.0;9.0;37344.0;3583.0;Europe
59;South Africa;2028.0;;25.0;;410.0;1593.0;7.0;34.0;0.4;75053.0;1265.0;Africa
60;Egypt;1939.0;;146.0;;426.0;1367.0;;19.0;1.0;25000.0;244.0;Africa
61;Algeria;1825.0;;275.0;;460.0;1090.0;60.0;42.0;6.0;3359.0;77.0;Africa
62;Iceland;1689.0;;8.0;;841.0;840.0;11.0;4950.0;23.0;34635.0;101497.0;Europe
63;Morocco;1617.0;72.0;113.0;2.0;153.0;1351.0;1.0;44.0;3.0;8473.0;230.0;Africa
64;Moldova;1560.0;;30.0;;75.0;1455.0;80.0;387.0;7.0;6271.0;1555.0;Europe
65;Croatia;1534.0;;21.0;;323.0;1190.0;32.0;374.0;5.0;15691.0;3822.0;Europe
66;Hungary;1410.0;100.0;99.0;14.0;118.0;1193.0;58.0;146.0;10.0;33532.0;3471.0;Europe
67;New Zealand;1330.0;18.0;4.0;;471.0;855.0;5.0;276.0;0.8;61167.0;12684.0;Australia/Oceania
68;Iraq;1318.0;;72.0;;601.0;645.0;;33.0;2.0;33889.0;843.0;Asia
69;Estonia;1309.0;5.0;25.0;1.0;98.0;1186.0;11.0;987.0;19.0;30349.0;22878.0;Europe
70;Kuwait;1234.0;80.0;1.0;;142.0;1091.0;29.0;289.0;0.2;;;Asia
71;Slovenia;1205.0;17.0;53.0;3.0;150.0;1002.0;35.0;580.0;25.0;34851.0;16764.0;Europe
72;Azerbaijan;1058.0;;11.0;;200.0;847.0;27.0;104.0;1.0;61342.0;6050.0;Asia
73;Lithuania;1053.0;27.0;23.0;;97.0;933.0;14.0;387.0;8.0;38472.0;14132.0;Europe
74;Bahrain;1024.0;;6.0;;557.0;461.0;3.0;602.0;4.0;60425.0;35511.0;Asia
75;Armenia;1013.0;46.0;13.0;;197.0;803.0;30.0;342.0;4.0;7164.0;2418.0;Asia
76;Hong Kong;1005.0;4.0;4.0;;360.0;641.0;13.0;134.0;0.5;96709.0;12900.0;Asia
77;Bosnia and Herzegovina;986.0;40.0;38.0;1.0;193.0;755.0;4.0;301.0;12.0;10181.0;3103.0;Europe
78;Kazakhstan;897.0;32.0;10.0;;86.0;801.0;21.0;48.0;0.5;69304.0;3691.0;Asia
79;Uzbekistan;833.0;66.0;4.0;;42.0;787.0;8.0;25.0;0.1;70000.0;2091.0;Asia
80;North Macedonia;828.0;68.0;34.0;;41.0;753.0;15.0;397.0;16.0;8057.0;3867.0;Europe
81;Cameroon;820.0;;12.0;;98.0;710.0;;31.0;0.5;;;Africa
82;Slovakia;742.0;14.0;2.0;;23.0;717.0;5.0;136.0;0.4;27426.0;5023.0;Europe
83;NO COUNTRY;712.0;;11.0;;619.0;82.0;10.0;;;;;
84;Tunisia;685.0;;28.0;;43.0;614.0;85.0;58.0;2.0;10676.0;903.0;Africa
85;Bulgaria;669.0;8.0;29.0;1.0;68.0;572.0;35.0;96.0;4.0;18502.0;2663.0;Europe
86;Latvia;651.0;21.0;5.0;2.0;16.0;630.0;2.0;345.0;3.0;28214.0;14958.0;Europe
87;Lebanon;630.0;11.0;20.0;;77.0;533.0;34.0;92.0;3.0;15152.0;2220.0;Asia
88;Andorra;622.0;21.0;28.0;2.0;71.0;523.0;17.0;8050.0;362.0;1673.0;21653.0;Europe
89;Bangladesh;621.0;139.0;34.0;4.0;39.0;548.0;1.0;4.0;0.2;9653.0;59.0;Asia
90;Cuba;620.0;;16.0;;77.0;527.0;11.0;55.0;1.0;13162.0;1162.0;North America
91;Cyprus;616.0;;10.0;;61.0;545.0;8.0;510.0;8.0;17119.0;14179.0;Asia
92;Afghanistan;607.0;52.0;18.0;;32.0;557.0;;16.0;0.5;;;Asia
93;Oman;599.0;53.0;3.0;;109.0;487.0;3.0;117.0;0.6;;;Asia
94;Costa Rica;577.0;;3.0;;49.0;525.0;13.0;113.0;0.6;6608.0;1297.0;North America
95;Ivory Coast;533.0;;4.0;;58.0;471.0;;20.0;0.2;;;Africa
96;Uruguay;501.0;7.0;7.0;;224.0;270.0;17.0;144.0;2.0;8114.0;2336.0;South America
97;Niger;491.0;;11.0;;41.0;439.0;;20.0;0.5;4298.0;178.0;Africa
98;Burkina Faso;484.0;;27.0;;155.0;302.0;;23.0;1.0;;;Africa
99;Albania;446.0;13.0;23.0;;217.0;206.0;7.0;155.0;8.0;3877.0;1347.0;Europe
100;Ghana;408.0;;8.0;;4.0;396.0;2.0;13.0;0.3;37405.0;1204.0;Africa
101;Channel Islands;407.0;;9.0;;48.0;350.0;;2341.0;52.0;3320.0;19095.0;Europe
102;Honduras;393.0;1.0;25.0;1.0;7.0;361.0;10.0;40.0;3.0;1600.0;162.0;North America
103;Taiwan;388.0;3.0;6.0;;109.0;273.0;;16.0;0.3;46547.0;1954.0;Asia
104;Réunion;388.0;; ;;40.0;348.0;3.0;433.0;;;;Africa
105;Jordan;381.0;;7.0;;177.0;197.0;5.0;37.0;0.7;20500.0;2009.0;Asia
106;Malta;378.0;8.0;3.0;;44.0;331.0;4.0;856.0;7.0;17058.0;38633.0;Europe
107;Kyrgyzstan;377.0;38.0;5.0;;44.0;328.0;5.0;58.0;0.8;9618.0;1474.0;Asia
108;San Marino;356.0;;35.0;;53.0;268.0;14.0;10492.0;1032.0;846.0;24933.0;Europe
109;Mauritius;319.0;;9.0;;28.0;282.0;3.0;251.0;7.0;7077.0;5565.0;Africa
110;Nigeria;318.0;;10.0;;70.0;238.0;2.0;2.0;0.05;5000.0;24.0;Africa
111;Bolivia;300.0;25.0;24.0;4.0;2.0;274.0;3.0;26.0;2.0;2185.0;187.0;South America
112;Senegal;280.0;2.0;2.0;;171.0;107.0;1.0;17.0;0.1;;;Africa
113;Palestine;268.0;;2.0;;57.0;209.0;;53.0;0.4;16992.0;3331.0;Asia
114;Montenegro;267.0;4.0;2.0;;5.0;260.0;7.0;425.0;3.0;2869.0;4568.0;Europe
115;Vietnam;258.0;; ;;144.0;114.0;8.0;3.0;;121821.0;1252.0;Asia
116;Georgia;252.0;10.0;3.0;;63.0;186.0;6.0;63.0;0.8;3271.0;820.0;Asia
117;Guinea;250.0;; ;;17.0;233.0;;19.0;;;;Africa
118;DRC;234.0;11.0;20.0;;16.0;198.0;;3.0;0.2;;;Africa
119;Isle of Man;226.0;;2.0;;112.0;112.0;11.0;2658.0;24.0;1934.0;22744.0;Europe
120;Sri Lanka;203.0;5.0;7.0;;55.0;141.0;1.0;9.0;0.3;4525.0;211.0;Asia
121;Mayotte;196.0;;3.0;;59.0;134.0;3.0;718.0;11.0;1350.0;4948.0;Africa
122;Kenya;191.0;;7.0;;24.0;160.0;2.0;4.0;0.1;6192.0;115.0;Africa
123;Djibouti;187.0;;2.0;;36.0;149.0;;189.0;2.0;4017.0;4066.0;Africa
124;Faeroe Islands;184.0;; ;;157.0;27.0;;3766.0;;5509.0;112744.0;Europe
125;Venezuela;175.0;;9.0;;93.0;73.0;6.0;6.0;0.3;181335.0;6377.0;South America
126;Martinique;155.0;;6.0;;50.0;99.0;19.0;413.0;16.0;;;North America
127;Guatemala;153.0;16.0;3.0;;19.0;131.0;3.0;9.0;0.2;1134.0;63.0;North America
128;Guadeloupe;143.0;;8.0;;67.0;68.0;13.0;357.0;20.0;;;North America
129;Brunei ;136.0;;1.0;;106.0;29.0;2.0;311.0;2.0;9884.0;22593.0;Asia
130;Paraguay;134.0;1.0;6.0;;22.0;106.0;1.0;19.0;0.8;2262.0;317.0;South America
131;Gibraltar;129.0;; ;;84.0;45.0;1.0;3829.0;;1558.0;46244.0;Europe
132;El Salvador;125.0;7.0;6.0;;21.0;98.0;3.0;19.0;0.9;;;North America
133;Cambodia;122.0;2.0; ;;77.0;45.0;1.0;7.0;;5768.0;345.0;Asia
134;Rwanda;120.0;; ;;18.0;102.0;;9.0;;806.0;62.0;Africa
135;Trinidad and Tobago;112.0;;8.0;;12.0;92.0;;80.0;6.0;1102.0;787.0;North America
136;Madagascar;102.0;; ;;11.0;91.0;1.0;4.0;;;;Africa
137;Monaco;92.0;;1.0;;5.0;86.0;4.0;2344.0;25.0;;;Europe
138;Aruba;92.0;; ;;29.0;63.0;;862.0;;1118.0;10471.0;North America
139;Mali;87.0;;7.0;;22.0;58.0;;4.0;0.3;;;Africa
140;French Guiana;86.0;; ;;51.0;35.0;1.0;288.0;;;;South America
141;Liechtenstein;79.0;;1.0;;55.0;23.0;;2072.0;26.0;900.0;23605.0;Europe
142;Togo;76.0;;3.0;;25.0;48.0;;9.0;0.4;2069.0;250.0;Africa
143;Ethiopia;71.0;2.0;3.0;;10.0;58.0;;0.6;0.03;3863.0;34.0;Africa
144;Jamaica;69.0;;4.0;;13.0;52.0;;23.0;1.0;907.0;306.0;North America
145;Barbados;68.0;;4.0;;11.0;53.0;4.0;237.0;14.0;747.0;2599.0;North America
146;Congo;60.0;;5.0;;5.0;50.0;;11.0;0.9;;;Africa
147;Cayman Islands;53.0;;1.0;;6.0;46.0;3.0;806.0;15.0;536.0;8156.0;North America
148;Uganda;53.0;; ;;4.0;49.0;;1.0;;4856.0;106.0;Africa
149;French Polynesia;51.0;; ;;;51.0;;182.0;;744.0;2649.0;Australia/Oceania
150;Sint Maarten;50.0;;9.0;;5.0;36.0;2.0;1166.0;210.0;134.0;3125.0;North America
151;Bermuda;50.0;2.0;4.0;;28.0;18.0;2.0;803.0;64.0;416.0;6680.0;North America
152;Gabon;49.0;3.0;1.0;;1.0;47.0;;22.0;0.4;;;Africa
153;Liberia;48.0;;5.0;;3.0;40.0;;9.0;1.0;;;Africa
154;Bahamas;46.0;;8.0;;5.0;33.0;1.0;117.0;20.0;;;North America
155;Guyana;45.0;;6.0;;8.0;31.0;3.0;57.0;8.0;193.0;245.0;South America
156;Macao;45.0;; ;;10.0;35.0;1.0;69.0;;;;Asia
157;Zambia;40.0;;2.0;;28.0;10.0;1.0;2.0;0.1;1239.0;67.0;Africa
158;Myanmar;38.0;;3.0;;2.0;33.0;;0.7;0.06;1406.0;26.0;Asia
159;Guinea-Bissau;38.0;; ;;;38.0;;19.0;;1500.0;762.0;Africa
160;Benin;35.0;;1.0;;5.0;29.0;;3.0;0.08;;;Africa
161;Eritrea;34.0;; ;;;34.0;;10.0;;;;Africa
162;Haiti;33.0;;3.0;1.0;;30.0;;3.0;0.3;365.0;32.0;North America
163;Tanzania;32.0;;3.0;;5.0;24.0;;0.5;0.05;;;Africa
164;Saint Martin;32.0;;2.0;;11.0;19.0;5.0;828.0;52.0;;;North America
165;Syria;25.0;;2.0;;5.0;18.0;;1.0;0.1;;;Asia
166;Libya;25.0;;1.0;;8.0;16.0;;4.0;0.1;507.0;74.0;Africa
167;Antigua and Barbuda;21.0;;2.0;;;19.0;1.0;214.0;20.0;40.0;408.0;North America
168;Somalia;21.0;;1.0;;2.0;18.0;2.0;1.0;0.06;;;Africa
169;Equatorial Guinea;21.0;3.0; ;;3.0;18.0;;15.0;;854.0;609.0;Africa
170;Mozambique;21.0;1.0; ;;2.0;19.0;;0.7;;679.0;22.0;Africa
171;Maldives;20.0;1.0; ;;13.0;7.0;;37.0;;;;Asia
172;Angola;19.0;;2.0;;4.0;13.0;;0.6;0.06;;;Africa
173;Sudan;19.0;;2.0;;2.0;15.0;;0.4;0.05;;;Africa
174;Laos;19.0;1.0; ;;;19.0;;3.0;;1140.0;157.0;Asia
175;New Caledonia;18.0;; ;;1.0;17.0;;63.0;;2608.0;9135.0;Australia/Oceania
176;Dominica;16.0;; ;;5.0;11.0;;222.0;;309.0;4293.0;North America
177;Fiji;16.0;; ;;;16.0;;18.0;;;;Australia/Oceania
178;Mongolia;16.0;; ;;4.0;12.0;;5.0;;;;Asia
179;Namibia;16.0;; ;;3.0;13.0;;6.0;;362.0;142.0;Africa
180;Saint Lucia;15.0;; ;;4.0;11.0;;82.0;;;;North America
181;Zimbabwe;14.0;;3.0;;;11.0;;0.9;0.2;547.0;37.0;Africa
182;Curaçao;14.0;;1.0;;7.0;6.0;;85.0;6.0;;;North America
183;Grenada;14.0;; ;;;14.0;2.0;124.0;;92.0;818.0;North America
184;Eswatini;14.0;2.0; ;;7.0;7.0;;12.0;;;;Africa
185;Belize;13.0;;2.0;;;11.0;1.0;33.0;5.0;364.0;915.0;North America
186;Botswana;13.0;;1.0;;;12.0;;6.0;0.4;2527.0;1075.0;Africa
187;Malawi;12.0;;2.0;;;10.0;1.0;0.6;0.1;287.0;15.0;Africa
188;Nepal;12.0;3.0; ;;1.0;11.0;;0.4;;4426.0;152.0;Asia
189;Saint Kitts and Nevis;12.0;; ;;;12.0;;226.0;;205.0;3853.0;North America
190;St. Vincent Grenadines;12.0;; ;;1.0;11.0;;108.0;;56.0;505.0;North America
191;Chad;11.0;; ;;2.0;9.0;;0.7;;;;Africa
192;Greenland;11.0;; ;;11.0;0.0;;194.0;;770.0;13564.0;North America
193;Seychelles;11.0;; ;;;11.0;;112.0;;;;Africa
194;Suriname;10.0;;1.0;;4.0;5.0;;17.0;2.0;;;South America
195;Sierra Leone;10.0;; ;;;10.0;;1.0;;;;Africa
196;NO COUNTRY;9.0;;2.0;;;7.0;;;;;;
197;Gambia;9.0;;1.0;;2.0;6.0;;4.0;0.4;281.0;116.0;Africa
198;Nicaragua;9.0;;1.0;;4.0;4.0;;1.0;0.2;;;North America
199;Turks and Caicos;9.0;;1.0;;;8.0;;232.0;26.0;62.0;1601.0;North America
200;Montserrat;9.0;; ;;;9.0;1.0;1803.0;;36.0;7212.0;North America
201;Cabo Verde;8.0;;1.0;;1.0;6.0;;14.0;2.0;;;Africa
202;CAR;8.0;; ;;;8.0;;2.0;;;;Africa
203;Vatican City;8.0;; ;;2.0;6.0;;9988.0;;;;Europe
204;Mauritania;7.0;;1.0;;2.0;4.0;;2.0;0.2;380.0;82.0;Africa
205;St. Barth;6.0;; ;;4.0;2.0;;607.0;;;;North America
206;Western Sahara;6.0;; ;;;6.0;;10.0;;;;Africa
207;Bhutan;5.0;; ;;2.0;3.0;;6.0;;1166.0;1511.0;Asia
208;Burundi;5.0;; ;;;5.0;;0.4;;;;Africa
209;Falkland Islands;5.0;; ;;1.0;4.0;;1437.0;;137.0;39368.0;South America
210;Sao Tome and Principe;4.0;; ;;;4.0;;18.0;;19.0;87.0;Africa
211;South Sudan;4.0;; ;;;4.0;;0.4;;;;Africa
212;Anguilla;3.0;; ;;;3.0;;200.0;;;;North America
213;British Virgin Islands;3.0;; ;;2.0;1.0;;99.0;;;;North America
214;Caribbean Netherlands;3.0;1.0; ;;;3.0;;114.0;;10.0;381.0;North America
215;Papua New Guinea;2.0;; ;;;2.0;;0.2;;72.0;8.0;Australia/Oceania
216;Timor-Leste;2.0;; ;;1.0;1.0;;2.0;;;;Asia
217;Saint Pierre Miquelon;1.0;; ;;;1.0;;173.0;;;;North America
218;Yemen;1.0;; ;;;1.0;;0.03;;;;Asia
219;China;82052.0;99.0;3339.0;;77575.0;1138.0;139.0;57.0;2.0;;;Asia
