;ID;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious, Critical;Tot Cases/1M pop;Deaths/ 1M pop;Total Tests;Tests/ 1M pop;Continent;1 Case every X people;1 Death every X people;1 Test every X ppl
8;1.0;USA;2357323.0;666.0;122259.0;12.0;980367.0;12.0;1254697.0;16477.0;7123.0;369.0;28505661.0;86132.0;North America;140.0;2707.0;12.0
9;2.0;Brazil;1086990.0;;50659.0;;579226.0;;457105.0;8318.0;5115.0;238.0;2430347.0;11436.0;South America;196.0;4195.0;87.0
10;3.0;Russia;592280.0;7600.0;8206.0;95.0;344416.0;4705.0;239658.0;2300.0;4059.0;56.0;17289691.0;118477.0;Europe;246.0;17784.0;8.0
11;4.0;India;427046.0;136.0;13717.0;14.0;237929.0;677.0;175400.0;8944.0;310.0;10.0;6950493.0;5038.0;Asia;3231.0;100579.0;198.0
12;5.0;UK;305289.0;958.0;42647.0;15.0;N/A;N/A;N/A;379.0;4498.0;628.0;8029757.0;118298.0;Europe;222.0;1592.0;8.0
13;6.0;Spain;293352.0;;28323.0;;N/A;N/A;N/A;617.0;6274.0;606.0;5162909.0;110426.0;Europe;159.0;1651.0;9.0
14;7.0;Peru;254936.0;;8045.0;;141967.0;;104924.0;1143.0;7735.0;244.0;1504209.0;45639.0;South America;129.0;4097.0;22.0
15;8.0;Chile;242355.0;;4479.0;;200569.0;;37307.0;1996.0;12681.0;234.0;963708.0;50424.0;South America;79.0;4267.0;20.0
16;9.0;Italy;238499.0;;34634.0;;182893.0;;20972.0;148.0;3944.0;573.0;4984370.0;82436.0;Europe;254.0;1746.0;12.0
17;10.0;Iran;207525.0;2573.0;9742.0;119.0;166427.0;2836.0;31356.0;2898.0;2472.0;116.0;1449420.0;17263.0;Asia;405.0;8619.0;58.0
18;11.0;Germany;191689.0;114.0;8963.0;1.0;174900.0;;7826.0;368.0;2288.0;107.0;5029696.0;60036.0;Europe;437.0;9347.0;17.0
19;12.0;Turkey;187685.0;;4950.0;;160240.0;;22495.0;803.0;2226.0;59.0;2945240.0;34932.0;Asia;449.0;17033.0;29.0
20;13.0;Pakistan;181088.0;4471.0;3590.0;89.0;71458.0;3566.0;106040.0;3219.0;820.0;16.0;1102162.0;4993.0;Asia;1219.0;61492.0;200.0
21;14.0;Mexico;180545.0;5343.0;21825.0;1044.0;135279.0;3593.0;23441.0;378.0;1401.0;169.0;479528.0;3720.0;North America;714.0;5906.0;269.0
22;15.0;Saudi Arabia;161005.0;3393.0;1307.0;40.0;105175.0;4045.0;54523.0;2045.0;4627.0;38.0;1284653.0;36918.0;Asia;216.0;26624.0;27.0
23;16.0;France;160377.0;;29640.0;;74372.0;;56365.0;715.0;2457.0;454.0;1384633.0;21214.0;Europe;407.0;2202.0;47.0
24;17.0;Bangladesh;115786.0;3480.0;1502.0;38.0;46755.0;1678.0;67529.0;1.0;703.0;9.0;630719.0;3831.0;Asia;1422.0;109617.0;261.0
25;18.0;Canada;101337.0;;8430.0;;63886.0;;29021.0;2026.0;2686.0;223.0;2415441.0;64013.0;North America;372.0;4476.0;16.0
26;19.0;South Africa;97302.0;;1930.0;;51608.0;;43764.0;208.0;1641.0;33.0;1328060.0;22400.0;Africa;609.0;30719.0;45.0
27;20.0;Qatar;88403.0;1034.0;99.0;1.0;69956.0;1637.0;18348.0;219.0;31485.0;35.0;324570.0;115596.0;Asia;32.0;28362.0;9.0
28;21.0;Colombia;68652.0;;2237.0;;27360.0;;39055.0;335.0;1350.0;44.0;604273.0;11879.0;South America;741.0;22739.0;84.0
29;22.0;Belgium;60550.0;;9696.0;;16771.0;;34083.0;50.0;5225.0;837.0;1098910.0;94828.0;Europe;191.0;1195.0;11.0
30;23.0;Belarus;59023.0;518.0;351.0;5.0;37923.0;257.0;20749.0;89.0;6246.0;37.0;876639.0;92772.0;Europe;160.0;26921.0;11.0
31;24.0;Sweden;56043.0;;5053.0;;N/A;N/A;N/A;200.0;5550.0;500.0;385659.0;38193.0;Europe;180.0;1998.0;26.0
32;25.0;Egypt;55233.0;;2193.0;;14736.0;;38304.0;41.0;540.0;21.0;135000.0;1320.0;Africa;1852.0;46636.0;758.0
33;26.0;Ecuador;50640.0;;4223.0;;24991.0;;21426.0;273.0;2872.0;239.0;139333.0;7901.0;South America;348.0;4176.0;127.0
34;27.0;Netherlands;49658.0;65.0;6090.0;;N/A;N/A;N/A;55.0;2898.0;355.0;542288.0;31650.0;Europe;345.0;2813.0;32.0
35;28.0;Indonesia;46845.0;954.0;2500.0;35.0;18735.0;331.0;25610.0;;171.0;9.0;650311.0;2378.0;Asia;5837.0;109378.0;420.0
36;29.0;UAE;44925.0;;302.0;;32415.0;;12208.0;1.0;4544.0;31.0;3038000.0;307270.0;Asia;220.0;32739.0;3.0
37;30.0;Argentina;42785.0;;1016.0;5.0;13153.0;425.0;28616.0;353.0;947.0;22.0;285391.0;6316.0;South America;1056.0;44473.0;158.0
38;31.0;Singapore;42313.0;218.0;26.0;;34942.0;;7345.0;1.0;7234.0;4.0;576189.0;98508.0;Asia;138.0;224968.0;10.0
